"","state","year","cpi","population","packs","income","tax","price","taxs","ss"
"60",12,"1995",1.5239999294281,11884935,83.2650756835938,304767456,68.0000076293945,198.476165771484,79.234504699707,"IL"
"61",13,"1995",1.5239999294281,5791819,134.258346557617,126525008,39.5,154.533752441406,46.8587493896484,"IN"
"62",14,"1995",1.5239999294281,2586942,88.7534408569336,56626672,48,175.210006713867,56.343334197998,"KS"
"63",15,"1995",1.5239999294281,3855248,172.64778137207,74079712,27,145.979675292969,35.2630004882812,"KY"
"64",16,"1995",1.5239999294281,4327978,105.176132202148,84572688,44,167.795349121094,50.4536666870117,"LA"
"65",17,"1995",1.5239999294281,6062335,76.6206436157227,170051568,75,217.105010986328,85.3383331298828,"MA"
"66",18,"1995",1.5239999294281,5023650,77.4735488891602,135115456,60,186.033752441406,68.8587493896484,"MD"
"67",19,"1995",1.5239999294281,1237438,102.469779968262,25045934,61,197.230651855469,72.1640014648438,"ME"
"68",20,"1995",1.5239999294281,9659871,81.3882522583008,231594240,99,240.849670410156,112.633003234863,"MI"
"69",21,"1995",1.5239999294281,4605445,82.9452972412109,113216856,72,220.348663330078,86.4153366088867,"MN"
"70",22,"1995",1.5239999294281,5324610,122.45027923584,117639672,41.0000038146973,157.230087280273,42.3884201049805,"MO"
"71",23,"1995",1.5239999294281,2690788,105.582450866699,46241956,42,169.229400634766,53.0710830688477,"MS"
"72",24,"1995",1.5239999294281,868522,87.1595687866211,16296835,42,156.216674804688,42,"MT"
"73",25,"1995",1.5239999294281,7185403,121.538063049316,157633568,29,149.994003295898,34.7690010070801,"NC"
"74",26,"1995",1.5239999294281,641548,79.8069686889648,12243384,68,192.248672485352,78.8820037841797,"ND"
"75",27,"1995",1.5239999294281,1635142,87.2707061767578,36293064,58,182.175003051758,66.6750030517578,"NE"
"76",28,"1995",1.5239999294281,1145604,156.33674621582,28649564,49,166.641662597656,49,"NH"
"77",29,"1995",1.5239999294281,7965523,80.3713684082031,233208576,64,203.087173461914,75.4954986572266,"NJ"
"78",30,"1995",1.5239999294281,1682417,64.6688690185547,31716160,45,176.146240234375,53.3879165649414,"NM"
"79",31,"1995",1.5239999294281,1525777,93.5261154174805,39377292,59,206.599166870117,72.5158309936523,"NV"
"80",32,"1995",1.5239999294281,18150928,70.8173217773438,503163328,80,221.858001708984,88.5329971313477,"NY"
"81",33,"1995",1.5239999294281,11155493,111.380104064941,255312928,48,165.891250610352,55.8995819091797,"OH"
"82",34,"1995",1.5239999294281,3265547,108.680107116699,63333300,47,170.134994506836,55.1016654968262,"OK"
"83",35,"1995",1.5239999294281,3141421,92.1557464599609,71209312,62,190.300003051758,62,"OR"
"84",36,"1995",1.5239999294281,12044780,95.6430892944336,285923232,55,176.163162231445,64.9714965820312,"PA"
"85",37,"1995",1.5239999294281,989203,92.5998001098633,23786644,80,224.459243774414,94.6842498779297,"RI"
"86",38,"1995",1.5239999294281,3699943,108.082748413086,72050072,31,152.818740844727,38.2770843505859,"SC"
"87",39,"1995",1.5239999294281,728251,97.2192306518555,14454129,47,168.037994384766,53.4630012512207,"SD"
"88",40,"1995",1.5239999294281,5241168,122.320053100586,114259984,37,167.067001342773,49.3753318786621,"TN"
"89",41,"1995",1.5239999294281,18679706,73.0793075561523,402096768,65,198.202331542969,76.2190017700195,"TX"
"90",42,"1995",1.5239999294281,1976774,49.2721977233887,37278220,50.5,180.976257324219,59.1179161071777,"UT"
"91",43,"1995",1.5239999294281,6601392,105.386871337891,161441792,26.5000057220459,166.661254882812,34.4362564086914,"VA"
"92",44,"1995",1.5239999294281,582827,122.334754943848,12448607,44,175.638748168945,52.3637504577637,"VT"
"93",45,"1995",1.5239999294281,5431024,65.5309219360352,129680832,80.5,239.109344482422,96.1426696777344,"WA"
"94",46,"1995",1.5239999294281,5137004,92.4663467407227,115959680,62,201.381256103516,71.5895843505859,"WI"
"95",47,"1995",1.5239999294281,1820560,115.568832397461,32611268,41,166.517181396484,50.4254989624023,"WV"
"96",48,"1995",1.5239999294281,478447,112.238136291504,10293195,36,158.541656494141,36,"WY"
